"est","se","lower","upper"
"f1_(Intercept)",-0.077,0.915,-1.8704,1.7164
"f1_Percent_forest_scaled",0.132,0.376,-0.60496,0.86896
"f2_(Intercept)",0.073,1.311,-2.49656,2.64256
"f2_Percent_forest_scaled",-0.365,0.707,-1.75072,1.02072
"f12_(Intercept)",-0.031,1.421,-2.81616,2.75416
"f12_Housing_density_scaled",-0.635,0.445,-1.5072,0.2372
"log_mu1[1]",-6.038,7.442,-20.62432,8.54832
"log_mu1[2]",-3.56,7.442,-18.14632,11.02632
"log_mu2[1]",-13.647,124.417,-257.50432,230.21032
"log_mu2[2]",-8.512,124.417,-252.36932,235.34532
"loglam1_(Intercept)",0.547,0.248,0.06092,1.03308
"loglam1_f1c",1.108,0.318,0.48472,1.73128
"loglam1_f2c",0.145,0.188,-0.22348,0.51348
"loglam1_f1s",-0.453,0.229,-0.90184,-0.00416
"loglam1_f2s",-0.114,0.19,-0.4864,0.2584
"loglam1_TSL",-0.718,0.315,-1.3354,-0.1006
"loglam1_forest",0.776,0.316,0.15664,1.39536
"loglam1_TSL:forest",0.4,0.505,-0.5898,1.3898
"loglam1_f1c:forest",-0.709,0.489,-1.66744,0.24944
"loglam1_f2c:forest",-0.105,0.251,-0.59696,0.38696
"loglam1_f1s:forest",0.332,0.328,-0.31088,0.97488
"loglam1_f2s:forest",-0.081,0.247,-0.56512,0.40312
"loglam2_(Intercept)",-6.991,4.002,-14.83492,0.85292
"loglam2_f1c",9.794,4.864,0.260560000000002,19.32744
"loglam2_f2c",-1.701,1.171,-3.99616,0.59416
"loglam2_f1s",-6.694,3.448,-13.45208,0.0640799999999997
"loglam2_f2s",3.939,2.026,-0.0319599999999993,7.90996
"loglam2_forest",-10.977,4.481,-19.75976,-2.19424
"loglam2_f1c:forest",11.292,5.473,0.564920000000001,22.01908
"loglam2_f2c:forest",-1.782,1.319,-4.36724,0.80324
"loglam2_f1s:forest",-7.635,3.905,-15.2888,0.0187999999999997
"loglam2_f2s:forest",4.473,2.27,0.0237999999999996,8.9222
"loglam3_(Intercept)",2.176,0.336,1.51744,2.83456
"loglam3_f1c",-0.282,0.372,-1.01112,0.44712
"loglam3_f2c",-0.34,0.293,-0.91428,0.23428
"loglam3_f1s",-0.096,0.297,-0.67812,0.48612
"loglam3_f2s",-0.211,0.316,-0.83036,0.40836
"loglam3_forest",1.25,0.782,-0.28272,2.78272
"loglam3_f1c:forest",0.427,1.203,-1.93088,2.78488
"loglam3_f2c:forest",0.086,0.694,-1.27424,1.44624
"loglam3_f1s:forest",0.387,0.439,-0.47344,1.24744
"loglam3_f2s:forest",0.542,0.445,-0.3302,1.4142
